lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Aravind;3;680;10;8160;0;2;0;0.0914883;22297.9;1.00784;0.104928;19442;4.70607
Aravind;3;680;10;8160;0;1;0;0.0903579;22576.9;1.00294;0.0973356;20958.4;4.70607
Aravind;3;680;10;8160;0;5;0;0.0890476;22909.1;1.00098;0.0914351;22310.9;4.70607
Aravind;3;680;10;8160;0;1;0;0.0891836;22874.2;0.997549;0.0931529;21899.5;4.70607
Aravind;3;680;10;8160;0;5;0;0.0896992;22742.7;1.00245;0.090862;22451.6;4.70607
Aravind;3;680;10;8160;0;2;0;0.0889142;22943.5;1.00196;0.0888575;22958.1;4.70607
Aravind;3;680;10;8160;0;2;0;0.0907755;22473;1.00735;0.0889352;22938;4.70607
Aravind;3;680;10;8160;0;5;0;0.0915762;22276.5;1.0049;0.0889306;22939.2;4.70607
Aravind;3;680;10;8160;0;5;0;0.106951;19074.2;1.00049;0.0898503;22704.4;4.70607
Aravind;3;680;10;8160;0;3;0;0.0999853;20403;0.995588;0.089299;22844.6;4.70607
