lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Jayanti;7;100;10;2800;0;0;12;2.89484;241.81;3.62143;3.41624;204.904;123.614
Jayanti;7;100;10;2800;0;0;11;2.15649;324.602;3.09286;2.12119;330.003;123.614
Jayanti;7;100;10;2800;0;0;0;2.23906;312.632;2.65429;0.0323925;21609.9;123.614
Jayanti;7;100;10;2800;0;0;14;0.0335877;20841;1.55714;2.10616;332.359;123.614
Jayanti;7;100;10;2800;0;0;10;3.63693;192.47;4.02714;1.57281;445.063;123.614
Jayanti;7;100;10;2800;0;0;0;0.0385269;18169.1;1.58143;0.0325311;21517.9;123.614
Jayanti;7;100;10;2800;0;0;11;2.84518;246.03;3.17143;1.80926;386.899;123.614
Jayanti;7;100;10;2800;0;0;11;0.033327;21004;1.57143;4.65527;150.367;123.614
Jayanti;7;100;10;2800;0;0;2;9.93635;70.4484;5.71;0.0324153;21594.7;123.614
Jayanti;7;100;10;2800;0;0;10;0.0332435;21056.7;1.58857;5.13355;136.358;123.614
