lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Lamport_Lecture;8;50;10;1600;0;0;7;0.0185374;21578;1.9425;5.20613;76.8324;51.7602
Lamport_Lecture;8;50;10;1600;0;0;9;0.160983;2484.74;1.8675;2.57803;155.157;51.7602
Lamport_Lecture;8;50;10;1600;0;0;4;2.08542;191.808;4.9175;0.0184995;21622.2;51.7602
Lamport_Lecture;8;50;10;1600;0;0;10;0.0190662;20979.5;1.8775;3.88306;103.012;51.7602
Lamport_Lecture;8;50;10;1600;0;0;7;0.0199217;20078.6;1.745;0.0183275;21825.1;51.7602
Lamport_Lecture;8;50;10;1600;0;0;19;0.218755;1828.53;1.13;0.0201076;19893;51.7602
Lamport_Lecture;8;50;10;1600;0;0;17;0.0206788;19343.5;1.91;4.27849;93.491;51.7602
Lamport_Lecture;8;50;10;1600;0;0;6;0.0192509;20778.2;1.8025;0.0205714;19444.5;51.7602
Lamport_Lecture;8;50;10;1600;0;0;2;2.99781;133.431;3.6275;0.0232058;17237.1;51.7602
Lamport_Lecture;8;50;10;1600;0;0;6;0.0433931;9218.06;1.7025;0.351827;1136.92;51.7602
