lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Reference-Lock;4;500;10;8000;0;2252;1204;0.0912895;21908.3;1.78;0.0918603;21772.2;4.80281
Reference-Lock;4;500;10;8000;0;2063;1602;0.0895227;22340.7;1.8495;0.089916;22243;4.80281
Reference-Lock;4;500;10;8000;0;2261;1041;0.0896219;22316;1.88;0.0898852;22250.6;4.80281
Reference-Lock;4;500;10;8000;0;2189;1198;0.0898911;22249.1;1.855;0.0899105;22244.3;4.80281
Reference-Lock;4;500;10;8000;0;2171;1033;0.0896607;22306.3;1.7365;0.0891982;22422;4.80281
Reference-Lock;4;500;10;8000;0;2240;1072;0.090064;22206.4;1.739;0.0890159;22467.9;4.80281
Reference-Lock;4;500;10;8000;0;2168;1071;0.0890864;22450.1;1.805;0.0895207;22341.2;4.80281
Reference-Lock;4;500;10;8000;0;2424;1169;0.091447;21870.6;1.683;0.0889825;22476.3;4.80281
Reference-Lock;4;500;10;8000;0;2655;1098;0.0905183;22095;1.8155;0.0895509;22333.7;4.80281
Reference-Lock;4;500;10;8000;0;2552;1136;0.0891848;22425.3;1.914;0.0892528;22408.3;4.80281
