lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Aravind;4;500;10;8000;0;4;0;0.0988084;20241.2;2.0115;0.249776;8007.17;5.36439
Aravind;4;500;10;8000;0;4;0;0.0920719;21722.2;2.0055;0.18484;10820.2;5.36439
Aravind;4;500;10;8000;0;4;0;0.0931654;21467.2;2.0065;0.125032;15995.9;5.36439
Aravind;4;500;10;8000;0;2;0;0.102397;19531.9;2.005;0.11739;17037.3;5.36439
Aravind;4;500;10;8000;0;5;0;0.0953394;20977.7;2.004;0.0921883;21694.7;5.36439
Aravind;4;500;10;8000;0;5;0;0.0917302;21803.1;2.006;0.0994393;20112.8;5.36439
Aravind;4;500;10;8000;0;8;0;0.0919975;21739.7;2.004;0.0916105;21831.6;5.36439
Aravind;4;500;10;8000;0;5;0;0.0918828;21766.9;2.0055;0.0931243;21476.7;5.36439
Aravind;4;500;10;8000;0;6;0;0.092037;21730.4;2.0055;0.0920916;21717.5;5.36439
Aravind;4;500;10;8000;0;5;0;0.0932922;21438;2.007;0.0918975;21763.4;5.36439
