lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Jayanti;5;200;10;4000;0;0;5;2.08457;479.716;2.633;3.32968;300.329;132.24
Jayanti;5;200;10;4000;0;0;4;3.04184;328.748;3.098;2.65004;377.353;132.24
Jayanti;5;200;10;4000;0;0;4;2.34805;425.886;2.753;1.65644;603.706;132.24
Jayanti;5;200;10;4000;0;0;6;1.14098;876.437;2.17;2.22458;449.523;132.24
Jayanti;5;200;10;4000;0;0;5;3.48042;287.322;3.236;2.22352;449.737;132.24
Jayanti;5;200;10;4000;0;0;5;0.853535;1171.6;1.951;2.69423;371.164;132.24
Jayanti;5;200;10;4000;0;0;4;2.02376;494.129;2.432;2.0626;484.824;132.24
Jayanti;5;200;10;4000;0;0;4;3.72466;268.481;3.325;2.49734;400.426;132.24
Jayanti;5;200;10;4000;0;0;5;2.0672;483.747;2.552;1.52495;655.758;132.24
Jayanti;5;200;10;4000;0;0;5;2.33249;428.727;3.201;3.28069;304.814;132.24
