lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Reference-Lock;3;6800;30;81600;0;10615;5471;1.13836;17920.5;1.00873;1.22926;16595.4;169.714
Reference-Lock;3;6800;30;81600;0;10627;5945;1.14854;17761.6;0.994902;1.14402;17831.9;169.714
Reference-Lock;3;6800;30;81600;0;10569;5701;1.16748;17473.5;1.00201;1.20363;16948.7;169.714
Reference-Lock;3;6800;30;81600;0;10578;5788;1.23582;16507.3;1.02912;1.10578;18448.5;169.714
Reference-Lock;3;6800;30;81600;0;10659;7084;1.20218;16969.2;1.02608;1.06987;19067.7;169.714
Reference-Lock;3;6800;30;81600;0;10587;5830;1.17951;17295.3;1.00559;1.1285;18077;169.714
Reference-Lock;3;6800;30;81600;0;10491;5336;1.16183;17558.5;1.01892;1.13738;17936;169.714
Reference-Lock;3;6800;30;81600;0;10781;7756;1.10184;18514.5;1.01613;1.21388;16805.6;169.714
Reference-Lock;3;6800;30;81600;0;12254;7857;1.10067;18534.1;1.0048;1.13174;18025.3;169.714
Reference-Lock;3;6800;30;81600;0;12680;7114;1.09286;18666.6;1.00887;1.22625;16636.1;169.714
Reference-Lock;3;6800;30;81600;0;11299;6999;1.14409;17830.7;1.00799;1.11111;18360;169.714
Reference-Lock;3;6800;30;81600;0;11010;7319;1.08778;18753.8;0.997794;1.14626;17797;169.714
Reference-Lock;3;6800;30;81600;0;10983;6788;1.0955;18621.6;1.01093;1.12569;18122.2;169.714
Reference-Lock;3;6800;30;81600;0;13915;5781;1.18542;17209;1.02363;1.1286;18075.4;169.714
Reference-Lock;3;6800;30;81600;0;12243;5871;1.15074;17727.8;1.01975;1.1778;17320.5;169.714
Reference-Lock;3;6800;30;81600;0;11168;5437;1.11994;18215.2;1.00892;1.08589;18786.5;169.714
Reference-Lock;3;6800;30;81600;0;11623;5974;1.0741;18992.7;1.00559;1.21072;16849.4;169.714
Reference-Lock;3;6800;30;81600;0;11911;6783;1.09442;18640;1.01211;1.17734;17327.2;169.714
Reference-Lock;3;6800;30;81600;0;11889;5802;1.11939;18224.1;1.00127;1.17442;17370.3;169.714
Reference-Lock;3;6800;30;81600;0;13770;6018;1.10673;18432.6;1.00422;1.16375;17529.6;169.714
Reference-Lock;3;6800;30;81600;0;14385;5876;1.13226;18017.1;1.01255;1.12789;18086.9;169.714
Reference-Lock;3;6800;30;81600;0;10567;6130;1.09422;18643.4;1.00779;1.19536;17066;169.714
Reference-Lock;3;6800;30;81600;0;10588;5797;1.1766;17338;1.00873;1.15894;17602.3;169.714
Reference-Lock;3;6800;30;81600;0;10727;5685;1.19971;17004.1;1.01985;1.19932;17009.6;169.714
Reference-Lock;3;6800;30;81600;0;12795;6024;1.59515;12788.8;1.03456;1.20612;16913.7;169.714
Reference-Lock;3;6800;30;81600;0;11767;6055;1.30505;15631.6;1.01657;1.18304;17243.7;169.714
Reference-Lock;3;6800;30;81600;0;11532;6276;1.06726;19114.3;1.01422;1.24304;16411.3;169.714
Reference-Lock;3;6800;30;81600;0;11236;5802;1.12257;18172.5;1.00147;1.25027;16316.5;169.714
Reference-Lock;3;6800;30;81600;0;10985;6025;1.21156;16837.7;1.01466;1.26553;16119.7;169.714
Reference-Lock;3;6800;30;81600;0;10323;6054;1.19687;17044.5;1.01618;1.12149;18190;169.714
