lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;7;5.14061;175.076;3.62111;6.21875;144.724;159.512
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;8;0.0416484;21609.5;1.33778;1.63627;550.031;159.512
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;5;6.30129;142.828;4.40222;0.0414944;21689.7;159.512
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;9;4.8618;185.117;3.36222;5.04783;178.294;159.512
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;10;1.37935;652.482;1.91;0.294148;3059.69;159.512
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;2;3.58534;251.022;2.96667;1.80968;497.325;159.512
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;6;1.21388;741.427;1.98;4.37022;205.939;159.512
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;8;4.4122;203.98;3.18444;2.736;328.947;159.512
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;8;4.89576;183.833;3.86444;4.08585;220.272;159.512
Taubenfeld_Paper_1_Fix;6;150;10;3600;0;0;10;0.0413532;21763.7;1.42111;1.2195;738.005;159.512
