lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;2;0.0338843;20658.5;1.58429;0.253872;2757.29;126.819
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;11;3.74463;186.934;3.59;2.96719;235.913;126.819
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;5;0.0318304;21991.6;1.57571;4.51273;155.117;126.819
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;11;2.27709;307.409;2.84143;2.40247;291.367;126.819
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;12;5.85526;119.551;4.81571;3.44697;203.077;126.819
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;2;0.0316374;22125.7;1.58429;4.56442;153.36;126.819
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;12;3.13046;223.61;3.28;0.0323114;21664.2;126.819
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;14;1.73957;402.398;2.53571;1.86093;376.157;126.819
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;2;1.77122;395.207;2.56571;3.3386;209.669;126.819
Taubenfeld_Paper_1_atomic;7;100;10;2800;0;0;9;6.47488;108.11;5.49571;4.66514;150.049;126.819
