lock_name;num_threads;num_turns;num_tests;num_events;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Reference-Lock;8;50;10;1600;0;370;211;0.0178035;22467.5;1.7025;0.0178023;22469;1.30685
Reference-Lock;8;50;10;1600;0;827;221;0.0249969;16002;3.72;0.0185809;21527.5;1.30685
Reference-Lock;8;50;10;1600;0;1111;410;0.0179466;22288.3;2.3225;0.0329402;12143.2;1.30685
Reference-Lock;8;50;10;1600;0;385;513;0.0182982;21860.1;1.71;0.017726;22565.7;1.30685
Reference-Lock;8;50;10;1600;0;328;190;0.0180505;22160.1;2.7375;0.0180914;22110;1.30685
Reference-Lock;8;50;10;1600;0;754;116;0.0178522;22406.2;2.395;0.0606971;6590.1;1.30685
Reference-Lock;8;50;10;1600;0;1115;289;0.0182718;21891.7;1.7175;0.0205731;19442.9;1.30685
Reference-Lock;8;50;10;1600;0;617;318;0.0182947;21864.3;1.705;0.0207425;19284.1;1.30685
Reference-Lock;8;50;10;1600;0;354;210;0.0177981;22474.3;2.885;0.0291304;13731.4;1.30685
Reference-Lock;8;50;10;1600;0;360;297;0.0180539;22155.9;1.95;0.0189926;21060.8;1.30685
