lock_name;num_threads;num_turns;num_tests;num_events;workload;cs_workload;randomness;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0216489;692875;0.0428;0.0156089;960987;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0157668;951368;0.0666667;0.0164345;912715;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0162798;921387;0.032;0.0163108;919639;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0198633;755162;0.0449333;0.0157126;954647;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0158365;947178;0.0824667;0.0164058;914313;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0154866;968579;0.0898;0.0157814;950487;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0161542;928550;0.104133;0.01666;900361;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0254324;589798;0.0940667;0.0164723;910621;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0162298;924224;0.0066;0.0171346;875420;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.016752;895417;0.00666667;0.0158995;943425;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0164189;913579;0.0142;0.0158903;943970;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0168913;888030;0.00753333;0.0157517;952276;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0170993;877226;0.0737333;0.0159584;939945;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0168015;892776;0.0362;0.0158829;944410;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0161132;930914;0.00153333;0.0162641;922279;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0169946;882635;0.0672667;0.0155835;962554;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0166895;898767;0.00413333;0.0169671;884064;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0172549;869316;0.0573333;0.0211433;709446;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0163918;915093;0.0066;0.0200083;749688;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0162652;922216;0.00513333;0.020661;726005;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.017309;866602;0.00506667;0.0209132;717250;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.016542;906780;0.00606667;0.019382;773914;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0163947;914927;0.00473333;0.0199128;753285;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0173683;863643;0.0494;0.0215393;696401;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0177003;847444;0.046;0.0212848;704730;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0167623;894868;0.00733333;0.0203875;735745;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0168894;888132;0.0242667;0.0193846;773812;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0170157;881541;0.00806667;0.0199693;751154;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0167133;897486;0.00433333;0.0208867;718159;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0174585;859179;0.0440667;0.0199799;750755;1.24799
