lock_name;num_threads;num_turns;num_tests;num_events;workload;cs_workload;randomness;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;4.66117;8581.53;2.0021;4.59854;8698.42;104.998
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;4.35538;9184.04;2.0004;4.59136;8712.02;104.998
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;4.44632;8996.21;2.00035;4.58172;8730.35;104.998
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;4.42873;9031.94;2.00057;4.59153;8711.69;104.998
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;5.1795;7722.76;2.0082;4.581;8731.71;104.998
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;4.58189;8730.02;2.00142;4.58739;8719.55;104.998
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;4.61225;8672.55;2.0003;4.64323;8614.7;104.998
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;4.54345;8803.88;2.00065;4.58194;8729.92;104.998
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;4.59932;8696.94;2.0003;4.58987;8714.83;104.998
Taubenfeld_Paper_1_atomic;4;10000;10;160000;1000;10000;0.3;0;0;0;4.59965;8696.32;2.00055;4.60043;8694.84;104.998
