lock_name;num_threads;num_turns;num_tests;num_events;workload;cs_workload;randomness;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0185717;1.07691e+06;0.1062;0.0213755;935648;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0231361;864450;0.0904;0.0201523;992443;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0197346;1.01345e+06;0.17295;0.021746;919708;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0307019;651426;0.0796;0.0208073;961203;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0166987;1.1977e+06;0.16935;0.0216651;923144;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0291991;684952;0.09015;0.0232287;861003;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0218071;917132;0.02435;0.0216411;924166;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0168502;1.18693e+06;0.01745;0.0220652;906403;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0217675;918802;0.04505;0.0218791;914115;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0168855;1.18444e+06;0.03915;0.0229892;869973;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0203978;980497;0.0534;0.0215935;926206;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0165093;1.21144e+06;0.0174;0.0209398;955118;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0202958;985428;0.04345;0.0205803;971802;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0240839;830429;0.10325;0.0204616;977439;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0225487;886968;0.0445;0.0209162;956195;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0162886;1.22785e+06;0.01765;0.0207079;965813;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0210343;950828;0.0295;0.0212015;943332;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0205442;973510;0.0728;0.0198558;1.00726e+06;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0167088;1.19697e+06;0.02015;0.0216306;924617;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0235234;850217;0.0597;0.022934;872066;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0163958;1.21983e+06;0.02555;0.0223449;895060;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0208676;958424;0.0297;0.019836;1.00827e+06;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0177292;1.12808e+06;0.0729;0.0219014;913183;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0205983;970953;0.03325;0.0210786;948828;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0222663;898218;0.11045;0.0219572;910865;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0223656;894231;0.06375;0.0205254;974403;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0208187;960677;0.03405;0.0219614;910690;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0179403;1.11481e+06;0.09545;0.0195064;1.0253e+06;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0224146;892277;0.05255;0.0216866;922230;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0169551;1.17958e+06;0.054;0.0203241;984052;3.21741
