lock_name;num_threads;num_turns;num_tests;num_events;workload;cs_workload;randomness;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0624492;64052;1.30175;0.0627818;63712.7;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0583964;68497.4;1.4865;0.0590569;67731.3;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0571035;70048.2;1.42575;0.0584903;68387.4;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0566184;70648.4;1.839;0.0578133;69188.3;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0603363;66295.1;1.851;0.0585856;68276.2;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.057499;69566.5;1.49525;0.0585495;68318.3;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0648133;61715.8;1.493;0.0591123;67667.8;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0631761;63315.1;1.311;0.0622135;64294.7;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0617931;64732.1;1.475;0.0604443;66176.6;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0598115;66876.7;1.15625;0.0597105;66989.9;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0608101;65778.5;1.6715;0.0556705;71851.3;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0625473;63951.6;1.61975;0.0591336;67643.4;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.062307;64198.2;1.32725;0.0590655;67721.4;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0599459;66726.8;1.20625;0.0589359;67870.4;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0610128;65560;1.38325;0.0595721;67145.5;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0608706;65713.2;1.7115;0.0590008;67795.7;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0611211;65443.9;1.5935;0.0577016;69322.2;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.064091;62411.3;1.60675;0.0584119;68479.1;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0633408;63150.4;1.25125;0.0577605;69251.5;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.060492;66124.4;1.4035;0.0601101;66544.5;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0614177;65127.8;1.7875;0.06153;65009;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0624955;64004.6;1.31125;0.0603489;66281.2;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0599112;66765.5;1.26675;0.060709;65888.1;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0618723;64649.2;1.5575;0.0597306;66967.4;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0613247;65226.5;1.298;0.0619134;64606.3;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0602036;66441.2;1.54725;0.0586838;68161.9;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0613726;65175.6;1.575;0.0585097;68364.8;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.058765;68067.7;1.19075;0.0593268;67423.2;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0625072;63992.7;1.6445;0.0579017;69082.6;4.35849
Reference-Lock;4;1000;30;16000;100;1000;0.4;0;-1;-1;0.0589914;67806.5;1.5565;0.0573749;69716.9;4.35849
